date,open,high,low,close,volume,amount,pctChg
2024-12-10,4094.05,4098.3804,3988.9676,3995.6369,25346379500,487278042807.0,0.732777
2024-12-11,3988.0179,4005.3253,3977.3522,3988.8308,17725284600,310713317895.4,-0.170338
2024-12-12,3987.1525,4031.7441,3981.3485,4028.5048,18162177700,333667518401.4,0.994627
2024-12-13,4000.9854,4000.9854,3931.7392,3933.1808,23035307900,421478609274.0,-2.366238
2024-12-16,3930.7807,3938.7595,3901.6465,3911.8416,17851125100,327619081581.3,-0.542543
2024-12-17,3908.1263,3955.945,3908.1263,3922.0334,16093909000,306037370846.7,0.260537
2024-12-18,3934.5425,3956.1441,3933.9693,3941.89,15773832100,276825381224.3,0.506283
2024-12-19,3911.8901,3954.3491,3899.7479,3945.4635,16108104000,321771606933.4,0.090654
2024-12-20,3937.4722,3958.6336,3923.2562,3927.7441,15498649600,332143276397.7,-0.449108
2024-12-23,3928.1493,3965.8502,3928.1493,3933.5718,19006736200,354063425208.7,0.148373
2024-12-24,3934.9422,3985.8588,3934.7338,3983.6882,16149458900,310384873294.2,1.274069
2024-12-25,3987.9557,4007.7626,3969.4766,3985.6291,15939074700,299295145793.1,0.048721
2024-12-26,3981.7317,3991.5331,3965.5461,3987.4801,14342528600,305769929402.7,0.046442
2024-12-27,3987.0189,4007.1314,3970.9365,3981.0307,16926866600,345011075199.0,-0.161741
2024-12-30,3976.7004,4005.778,3976.7004,3999.0549,16461248500,322699390191.8,0.452752
2024-12-31,3995.8705,4004.3462,3934.9109,3934.9109,18392839700,347880439530.4,-1.603979
2025-01-02,3931.8155,3934.2034,3796.3389,3820.3952,21789872400,388636586639.3,-2.910249
2025-01-03,3825.2426,3835.9353,3767.6653,3775.1648,17534267600,304322755435.9,-1.183919
2025-01-06,3775.9902,3788.8489,3743.0727,3768.9697,15094667000,262803541116.2,-0.164101
2025-01-07,3760.866,3797.602,3749.0581,3796.1055,14645577900,266855795347.4,0.719979
2025-01-08,3781.261,3810.7355,3731.1887,3789.2153,16916696800,300965725432.7,-0.181507
2025-01-09,3780.7341,3795.2608,3768.681,3779.8773,12979400200,251486002819.8,-0.246436
2025-01-10,3778.8928,3786.8069,3732.4806,3732.4806,13752317100,275354209064.3,-1.253922
2025-01-13,3704.4442,3737.8852,3704.1073,3722.513,13644619900,247861953196.7,-0.26705
2025-01-14,3728.5561,3826.6399,3718.8768,3820.5395,17066465700,345461480063.6,2.633342
2025-01-15,3810.0353,3816.8284,3790.1655,3796.026,14147552000,278850595531.7,-0.641624
2025-01-16,3812.1935,3842.947,3776.2861,3800.3836,14450587100,305734630771.3,0.114794
2025-01-17,3788.3729,3831.6404,3780.2133,3812.3429,12662196100,265437489593.6,0.314687
2025-01-20,3835.3042,3858.6677,3821.9815,3829.6764,13958127700,292175449108.6,0.454668
2025-01-21,3850.3563,3850.9106,3817.1214,3832.6145,14121840600,285073351693.4,0.076719
2025-01-22,3823.9447,3823.9447,3783.1438,3797.0166,13725506200,298745637551.4,-0.928815
2025-01-23,3829.0462,3864.2585,3801.8531,3803.7439,18056955100,345198071113.9,0.177173
2025-01-24,3793.8498,3847.6003,3793.4836,3832.8637,14897172200,296474375469.1,0.765556
2025-01-27,3836.9578,3851.9969,3817.0802,3817.0802,14667077200,282940127540.6,-0.411794
2025-02-05,3844.6998,3844.6998,3785.162,3795.0848,15716830800,346016202025.2,-0.576236
2025-02-06,3789.6086,3843.4942,3788.3196,3842.8314,16728817600,371891971101.4,1.258117
2025-02-07,3844.0574,3919.3499,3833.8685,3892.7028,22185770700,487381557078.2,1.297777
2025-02-10,3898.1023,3906.3678,3878.8314,3901.0618,18890304000,384968342874.3,0.214735
2025-02-11,3905.1594,3905.1594,3872.9087,3883.1352,16657490900,337866056115.9,-0.459531
2025-02-12,3875.9596,3920.7229,3867.3538,3919.8617,16422854000,354830596297.9,0.945795
2025-02-13,3913.9044,3939.1978,3904.9845,3905.1398,17248587400,376473453306.6,-0.375572
2025-02-14,3900.8274,3942.0356,3900.8274,3939.0085,17297645200,360974236854.4,0.867285
2025-02-17,3954.4147,3955.8959,3921.7017,3947.3983,21358824600,430929575563.2,0.212993
2025-02-18,3942.5761,3965.4232,3901.8675,3912.7829,20942510100,400186229940.7,-0.876917
2025-02-19,3906.2201,3943.6742,3904.1455,3940.1602,18282951700,363680372562.7,0.699689
2025-02-20,3934.6503,3940.678,3916.1772,3928.8959,16389523600,325972429362.6,-0.285884
2025-02-21,3938.0518,3981.048,3927.7874,3978.444,22740033000,504645493577.1,1.26112
2025-02-24,3972.4831,3995.9456,3949.2309,3969.7169,22081061800,455088749684.5,-0.21936
2025-02-25,3933.636,3955.4336,3915.6527,3925.6505,17810858000,377981451250.4,-1.110064
2025-02-26,3931.842,3960.3298,3925.3664,3959.9413,19106250100,386458193762.6,0.873506
2025-02-27,3961.0635,3973.9323,3933.4611,3968.1159,20288796300,428272792667.6,0.206432
2025-02-28,3950.1866,3972.4813,3886.3994,3890.0487,19810414700,420308043450.1,-1.967362
2025-03-03,3899.6962,3930.0048,3872.5872,3888.4738,17762316600,356057735014.0,-0.040485
2025-03-04,3865.9939,3890.4235,3855.7254,3885.2208,14985096700,297739246802.3,-0.083658
2025-03-05,3887.7992,3906.4214,3877.0188,3902.5706,15865275100,290860484504.9,0.446559
2025-03-06,3923.3827,3964.4942,3917.0833,3956.2369,19396091500,397419427642.7,1.375153
2025-03-07,3944.9145,3967.0743,3935.0464,3944.0143,16673237500,340626700285.5,-0.308945
2025-03-10,3945.5795,3949.1448,3905.127,3928.8018,15276523200,292574987480.9,-0.385711
2025-03-11,3890.4305,3941.4157,3889.4298,3941.4157,14475440200,287480453119.8,0.321062
2025-03-12,3946.8623,3953.6125,3921.4736,3927.2315,15673219000,309627267364.8,-0.359876
